,instrument,train_set,test_set,precision,recall,f1-score,support,accuracy,roc_auc,ap,embedding
102,flute,B,B,0.3884297520661157,0.734375,0.508108108108108,64.0,0.8711048158640227,0.9274727414330218,0.7142044418967478,vggish-mlda
103,guitar,B,B,0.6835443037974683,0.8709677419354839,0.7659574468085106,124.0,0.9065155807365439,0.9661900011085245,0.8755256901033184,vggish-mlda
104,organ,B,B,0.4523809523809524,0.8636363636363636,0.59375,44.0,0.9263456090651558,0.9762427904421862,0.780853532917211,vggish-mlda
105,piano,B,B,0.7333333333333333,0.8088235294117647,0.7692307692307693,68.0,0.953257790368272,0.9794624746450304,0.8969498471925524,vggish-mlda
106,saxophone,B,B,0.3192771084337349,0.726027397260274,0.4435146443514644,73.0,0.8116147308781869,0.8587937414789327,0.5166792401997642,vggish-mlda
107,trumpet,B,B,0.3968253968253968,0.7692307692307693,0.5235602094240838,65.0,0.8711048158640227,0.8951638065522621,0.6491907157259577,vggish-mlda
108,violin,B,B,0.40816326530612246,0.8,0.5405405405405406,75.0,0.8555240793201133,0.9178024300052827,0.6748530572794799,vggish-mlda
109,voice,B,B,0.8617021276595744,0.9878048780487805,0.9204545454545454,82.0,0.9801699716713881,0.9981824577861163,0.9848669191132906,vggish-mlda
110,cello,B,A,0.4,0.5,0.4444444444444445,40.0,0.9479166666666666,0.9221739130434783,0.49786963903318204,vggish-mlda
111,clarinet,B,A,0.34814814814814815,0.6714285714285714,0.4585365853658536,70.0,0.884375,0.8945585874799358,0.4475890609514119,vggish-mlda
112,flute,B,A,0.26865671641791045,0.631578947368421,0.3769633507853403,57.0,0.8760416666666667,0.8803792426803442,0.5208705412782086,vggish-mlda
113,guitar,B,A,0.6195286195286195,0.8288288288288288,0.7090558766859345,222.0,0.8427083333333333,0.9161234405136844,0.81869205836423,vggish-mlda
114,organ,B,A,0.5299539170506913,0.8846153846153846,0.6628242074927954,130.0,0.878125,0.9601204819277109,0.7806392044120337,vggish-mlda
115,piano,B,A,0.6456692913385826,0.803921568627451,0.7161572052401747,102.0,0.9322916666666666,0.9588303853009735,0.8085690938767461,vggish-mlda
116,saxophone,B,A,0.28292682926829266,0.7532467532467533,0.4113475177304964,77.0,0.8270833333333333,0.8569222397081966,0.5037485124089893,vggish-mlda
117,trumpet,B,A,0.36363636363636365,0.8470588235294118,0.5088339222614842,85.0,0.8552083333333333,0.9233478991596639,0.7116596709352507,vggish-mlda
118,violin,B,A,0.2920353982300885,0.4852941176470588,0.3646408839779005,68.0,0.8802083333333334,0.8290688472698496,0.39080188910315167,vggish-mlda
119,voice,B,A,0.7342657342657343,0.963302752293578,0.8333333333333333,109.0,0.95625,0.986664366799987,0.9404403886962543,vggish-mlda
